Year,"Accidente mortale, după sex","Accidente mortale, după activități economice","Accidente nemortale, după sex","Accidente nemortale, după activități economice",Value
2022,,,,"Agricultura, silvicultura și pescuit",62.005
2022,,,,Industrie,113.738
2022,,,,Industria extractivă,169.779
2022,,,,Industria prelucrătoare,108.63
2022,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",145.971
2022,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",114.04
2022,,,,Construcții,189.8
2022,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,65.932
2022,,,,Transport și depozitare,118.187
2022,,,,Activitati de cazare si alimentatie publica,30.798
2022,,,,Informații și comunicații,24.423
2022,,,,Activități financiare și de asigurări,30.437
2022,,,,Tranzacții imobiliare,56.481
2022,,,,"Activități profesionale, științifice și tehnice",23.204
2022,,,,Activitati de servicii administrative si activitati de servicii suport,47.181
2022,,,,Administratțe publică și apărare; asigurări sociale obligatorii,183.632
2022,,,,Învățământ,26.109
2022,,,,Sănătate și asistență socială,60.62
2022,,,,"Arta, activități de recreere și de agrement",24.804
2022,,,,Alte activități de servicii,16.158
2023,,,,,
2023,Total,,,,3.992
2023,Bărbați,,,,7.827
2023,Femei,,,,0.602
2023,,"Agricultura, silvicultura și pescuit",,,12.128
2023,,Industrie,,,7.875
2023,,Industria extractivă,,,197.433
2023,,Industria prelucrătoare,,,6.107
2023,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,0.0
2023,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,0.0
2023,,Construcții,,,12.41
2023,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,1.794
2023,,Transport și depozitare,,,8.181
2023,,Activitati de cazare si alimentatie publica,,,0.0
2023,,Informații și comunicații,,,3.421
2023,,Activități financiare și de asigurări,,,0.0
2023,,Tranzacții imobiliare,,,0.0
2023,,"Activități profesionale, științifice și tehnice",,,0.0
2023,,Activitati de servicii administrative si activitati de servicii suport,,,0.0
2023,,Administratțe publică și apărare; asigurări sociale obligatorii,,,4.156
2023,,Învățământ,,,1.094
2023,,Sănătate și asistență socială,,,1.527
2023,,"Arta, activități de recreere și de agrement",,,0.0
2023,,Alte activități de servicii,,,0.0
2023,,,Total,,87.981
2023,,,Bărbați,,124.555
2023,,,Femei,,55.652
2023,,,,"Agricultura, silvicultura și pescuit",27.287
2023,,,,Industrie,145.684
2023,,,,Industria extractivă,65.789
2023,,,,Industria prelucrătoare,133.14
2023,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",182.991
2023,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",243.029
2023,,,,Construcții,169.604
2023,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,72.637
2023,,,,Transport și depozitare,149.986
2023,,,,Activitati de cazare si alimentatie publica,38.407
2023,,,,Informații și comunicații,64.997
2023,,,,Activități financiare și de asigurări,15.166
2023,,,,Tranzacții imobiliare,45.725
2023,,,,"Activități profesionale, științifice și tehnice",7.649
2023,,,,Activitati de servicii administrative si activitati de servicii suport,126.233
2023,,,,Administratțe publică și apărare; asigurări sociale obligatorii,222.342
2023,,,,Învățământ,25.171
2023,,,,Sănătate și asistență socială,56.483
2023,,,,"Arta, activități de recreere și de agrement",8.262
2023,,,,Alte activități de servicii,0.0
2024,,,,,
2024,Total,,,,4.27
2024,Bărbați,,,,8.714
2024,Femei,,,,0.299
2024,,"Agricultura, silvicultura și pescuit",,,6.11
2024,,Industrie,,,4.039
2024,,Industria extractivă,,,0.0
2024,,Industria prelucrătoare,,,1.263
2024,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,0.0
2024,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,37.78
2024,,Construcții,,,53.995
2024,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,3.512
2024,,Transport și depozitare,,,2.778
2024,,Activitati de cazare si alimentatie publica,,,0.0
2024,,Informații și comunicații,,,3.138
2024,,Activități financiare și de asigurări,,,0.0
2024,,Tranzacții imobiliare,,,0.0
2024,,"Activități profesionale, științifice și tehnice",,,0.0
2024,,Activitati de servicii administrative si activitati de servicii suport,,,0.0
2024,,Administratțe publică și apărare; asigurări sociale obligatorii,,,0.0
2024,,Învățământ,,,2.218
2024,,Sănătate și asistență socială,,,0.0
2024,,"Arta, activități de recreere și de agrement",,,0.0
2024,,Alte activități de servicii,,,0.0
2024,,,Total,,87.767
2024,,,Bărbați,,123.003
2024,,,Femei,,56.289
2024,,,,"Agricultura, silvicultura și pescuit",67.205
2024,,,,Industrie,134.304
2024,,,,Industria extractivă,204.918
2024,,,,Industria prelucrătoare,126.306
2024,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",181.792
2024,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",138.527
2024,,,,Construcții,245.056
2024,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,62.342
2024,,,,Transport și depozitare,161.144
2024,,,,Activitati de cazare si alimentatie publica,73.905
2024,,,,Informații și comunicații,21.963
2024,,,,Activități financiare și de asigurări,44.967
2024,,,,Tranzacții imobiliare,56.301
2024,,,,"Activități profesionale, științifice și tehnice",44.726
2024,,,,Activitati de servicii administrative si activitati de servicii suport,92.444
2024,,,,Administratțe publică și apărare; asigurări sociale obligatorii,175.962
2024,,,,Învățământ,26.617
2024,,,,Sănătate și asistență socială,60.609
2024,,,,"Arta, activități de recreere și de agrement",79.416
2024,,,,Alte activități de servicii,13.339
